날짜,기사 제목,매체 이름,링크
2025.10.30,"삼성전자, 반도체 부활에 역대급 호실적…'HBM3E', 엔비디아 뚫었다",노컷뉴스,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9BTDVrbklZbnVjaUZyWTNKRVd2Qmhyb0p2SXNXQW5LZC03RkRoa20zWHdpREJQVGRKbmxtVkswMWlwdnVBLXVybUNiNVQyREUtYWc?oc=5
2025.10.30,"[컨콜] [삼성전자] HBM 우려 해소, 엔비디아 납품 사실상 공식화",DealSite경제TV,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5MV3RlMzZwNjBUdmQ1bU14c2plMmFvaVJheElFLTRZbTViV0hTRVZwRnd6LWR1ZzZTMi1aNFVBNTlrN1VuWHQxTXAtU3ZlQWlnNmVGWlJn?oc=5
2025.10.30,삼성전자 반도체 3분기 영업익 7조..메모리 역대 최대 매출,포쓰저널,https://news.google.com/rss/articles/CBMiZEFVX3lxTE0wdUZWZnhWV0F6ZENMc0VFci1NdEQyNk9XOFZjeEx6blJfbHNQZHB5ME1QVzJqVnhRVWpaaU9Kcnc4UFlielRZbW9fT1dBTTRzSEV6OFh1QkJRZU1tZmRiZzJVUU4?oc=5
2025.10.30,삼성전자 오늘 3분기 성적표 공개…반도체 영업익 6조원 넘길 듯,연합뉴스,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5rdU9MX3Jiakxqb1ktdnMzaklfcmdsaHlkNDZ2M2pjZFZwNDJ2cURWVnNwYS1Bak9pVWc0RG5SejFkaHR3VU5UMDBzT1gwNVNLUXlkNmhLcmRSWDDSAWBBVV95cUxOSEZJRlpyVDV0czJLZDh1bW1rZXd6ZDRHaGxnOHJkVmpBYmtqN0E0aUFfY0VDYXJ6VFVVTV9ibkVsZmtsS3JqSzBVWGx1bmh4bVVpUS1GaG1SYlV6dEVKbGE?oc=5
2025.10.30,"삼성전자 ""HBM 주문 계속 몰려와, 증산 검토""",한국금융신문,https://news.google.com/rss/articles/CBMifEFVX3lxTE5BelROZE1sNTU1UnNSbHVYWjhPQ2R6NWpJQlNnb3FKVG5seHhhZnZXN1czUzdCUFMyLVlxb2g5WGNCR2I2b0VCYmJUN2xmeUQ1ZTdVREk4TFZXbmhVZmVZMGtPNmxkdnNZaXpaV2ZtWmpMYUF6ZTBGMDZVZjg?oc=5
2025.10.30,"삼성전자 ""내년 메모리반도체 수요, 예년보다 강하고 빠르게 접수돼""",비즈니스포스트,https://news.google.com/rss/articles/CBMic0FVX3lxTFB4aFVEaTRzR1hlQlVEUldtVndtTWM4anMyRUIwX0U4YXdCZWtTLTFKa285TlNMRHdyV2x0OU5uUWQtWnkzYUJRbWlJekpaY0E1SEJRem9YX0RyaGNweGtXYlludzdJNGY3T2pKSDdxenZma2M?oc=5
2025.10.30,"[IR] 삼성전자 ""HBM4 고객 수요 확보…증산 가능성 검토""",뉴스1,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1DWnM0V3gtUWY5RTV4T19RbDZHbGp3TThNVWwwRFNqR19OcVZKWGZhY0QxZ0tRdDhKcEFOS0g0WlNoM0VQLVpoWUNyc2FZTEo4QU5ScEs3WFNtbTlaaXc?oc=5
2025.10.30,삼성전자 3분기 성적표는…반도체 영업익 6조원 넘길 듯,v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBwR21HdUF1TG51UmxYbzUxTG9FWmgxRV9YWktjV2ktTXpubFlnRENYeHNqN3RINVBwNEViaU92NGwyMEg5UWtUczA3S09jNXc?oc=5
2025.10.30,"삼성전자 ""최고 성능 HBM4 샘플 납품…증산 가능성 검토""",딜사이트,https://news.google.com/rss/articles/CBMiT0FVX3lxTFA4MFRwLW9jOFpqWWhLZkJjUldzSEhzT181Y1JlVHV1NGpOMUR3cXdDUmxNMElhbGxmaU94UFlyZ3Q1UktUZUxLWE1sVlU0d3M?oc=5
2025.10.30,"삼성전자, '부활한 반도체' 힘입어 3분기 역대 최대 매출 달성",미래경제,https://news.google.com/rss/articles/CBMibEFVX3lxTE5hMzEzZGxTRkRtcDZXdlN3cjdKVEEyUWtYdGtUbjE3eEk1dFl1Z2V0UG54SHlrV2kwdzlpYmFOWDItS1hsVWhJZ2J3VFBwR2dQamJOdUw3Qy1IcUFlMTMxYzVRZloyRzE3WlVPSw?oc=5
2025.10.30,"삼성전자, 3분기 최대 실적…HBM3E 엔비디아 납품 공식화",한국경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9vSWdQQmVSR1FBbHBfenlWMmk0RDBTdVdCS1gySmtNcWJqYmxpZC1EQ1FVYU0xVVNKSmtwSVViYUJxekVpVGdHV0hZd19VU2U4TURscHI5Y0h5UdIBVEFVX3lxTE9ZOWN1NTM4OGZBQzhWLXdjRnNEVmxKbTdkNlVQUTVTUlZwTGdxa2ZnSGplWTA1anpxNzlyaTBlQXlQalM3OGlwTjRwalhTZF9RaTRKQg?oc=5
2025.10.30,"[APEC2025] 삼성전자, 중국서 반기 매출 28조원…반도체·디스플레이 핵심 거점",이코노믹데일리,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9IUkRQWFVTNnY1dGwtTTNJVVlZc0VwVGg5VU11V0IwTkRvaUl4NVp5X2stSy1TM01qNkt1NDNOcFE5c1RHZUgtaWFPU0lWN0pYd21tTlYyV2FPblBjQTNzUtIBXEFVX3lxTE40NHRQR2Jxc3JEc0F1cXMyZ3g0M1k2TzNGX2EzQlZUQThxZDl1NG13TlJCWmd0bUp0aVNQNnhJb08yWlNzRVAtbjE3Zk1NR0NNVDFSRnNDeG1yZ0Ro?oc=5
2025.10.30,"삼성전자, 3분기 영업이익 12조 ‘턴어라운드’⋯반도체 흑자전환",브릿지경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5vLXRZeVRpVmhNbWFEcVk1SUNCWEFxWU5OS3hnNTd5cjN6U0VrZ2xGd1RndHZVTVRHMVgyVEpZZWFKZXhrVHk0LXBmZWFDQVRBTVRkTDR4a0xCQQ?oc=5
2025.10.30,"'HBM 절치부심' 삼성전자, 반도체 부활…하이닉스 추격 발판",SBS Biz,https://news.google.com/rss/articles/CBMiU0FVX3lxTFB6bXhpbmdpdDdGTHc0cTFQQ0VDRUVwb2dlM2czTHB0Y0JlTWxlLUVMNkk1YmlGQnJMVE5oZ3JpWUFKaEVMVk56akg2T2Y1aTVQc0s40gFYQVVfeXFMT2F4MkhxVnh3Q3VkV2FiWjJoZGIyWjZ2eEtpM1ZRUVlrV3c1Q3BYc1RJbjctVDZ0VmoxbHdZc0hRdnJjdE02dGltVzhqLTIyYTFzbE5Na3k5Uw?oc=5
2025.10.30,"삼성전자, 분기 매출 첫 86조 돌파… 반도체 7조 영업익 회복(상보)",데일리안,https://news.google.com/rss/articles/CBMiVEFVX3lxTE51OUU1M25ncExlb3BrbkFXaml3Q0Z4TW43QVRaYktuanQtYWtMLVUtYjR0dURqRnI4TTI1Ylo5NmtKOHBDOFVFUXlfUm5sLUpEQldWSdIB-gFBVV95cUxNVDZzcGhrc09BS2lhNzJDVGhXNVl6RFU5LVdubmIzaEV0Uk5wM3BzNWxoV2lkdHRkNG9qRVJSTUlyY3ZqbzlPaW5WREhBcFZfUWNBb3ZGNm5GVEY2N2cybzJuZlNGSko1WjVSZFQ4MWk0b25iMWhLVzYyNkdUZEl4REFQNDFWeWxZcmc4WW5qN1h3b0psWFR6Rl9xYUU0SGFrYnAwOEpiT181dEtDaUJkc0YyRDdkZTVQRHR0alNyeXV2SXc5WElMVjQ4bHU4TV9xT1JkV3pKbWpfcUx5Vy1OS3FWOEV6Wi0yVXItbk1yLXc4NUpYU2FJcGhR?oc=5
2025.10.30,"삼성전자, 'HBM 기술력 회복'‥3분기 반도체 영업익 7조",아시아경제,https://news.google.com/rss/articles/CBMiYEFVX3lxTE8yaGl3R3FuWWhycnh1bENjQ1VYZDBPUFFucFlDNjBMa3FkMFhPWXZrUEpSM3VPbmxqRE5ycDk5bG16b3BuU3NwU05PR2JfQ1pwUWVOZEN0NnVwVDFlMk5ETQ?oc=5
2025.10.30,삼성전자 반도체 영업익 7조…HBM3E 엔비디아 납품 확정,v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5DamVsUEFVZ3JUUWtMVXFlVTNScnRIT3N3WHp2ZG9kNFNlajFwQ3daQnA0bFZzY1R3TGZXbS1RTmdvVF90QUVZajllX3NIZzA?oc=5
2025.10.30,"삼성전자, 3분기 영업익 12조 ‘깜짝 실적’…반도체 부문만 7조",한겨레,https://news.google.com/rss/articles/CBMickFVX3lxTE9FUW1YVUxPY1JFM2UycHdXZ0Vhd2M0MHpFRlljaWVYU3RTV3VDY3NleW1KYWFyOUs1bEhlN3d2NHktWlhyTDNpZ2J3czFadHFUS29NcFMxdExlUTZOTzJOQWliSXhsS2NNZDdwMU1iaTN6QQ?oc=5
2025.10.30,"삼성전자, 반도체 영업이익 7조원…‘엔비디아의 벽’ 넘으며 투자 늘릴 듯",한겨레,https://news.google.com/rss/articles/CBMickFVX3lxTE5DaGY0S2kyU3dlWEs5MWMwb1dQX1hzY3dJYWd3SEtqVFpneG5ObkRHektBVVhSMVQ0MTJvTXB1QmxFc3hUVFpjN2s4dHkxbzhwSnVyb2RTSWhqMUhob1VZREFJU2VGaGxvdl9DUE5oUk1SQQ?oc=5
2025.10.30,삼성전자 반도체 3분기 영업익 7조원···HBM3E 엔비디아 납품 공식화,경향신문,https://news.google.com/rss/articles/CBMiWkFVX3lxTFA1dm15dTVEZ1VUb0hoLVJwTERoZ21ZeE5xSENSbGJQejREd3NGSkJWdGRIN2N6ZU9Pc0NsMm02NjFzaWF5NXN6LVYyTllpdEt3MkdqNDEwWTBJZ9IBX0FVX3lxTFBIak1zYnltTklpQndwRkprMVhvdmVsWTBwdHVCMTZpWklYblExZEM5ZnVpZ2FrY3d4QXNXbENKZUJ4VTc2NDVPN1UwUUJFejhjTXB2MmhjRmlneXZzNlRJ?oc=5
2025.10.30,"삼성전자, '반도체 부활'로 다시 쓴 86조 매출 신기록",v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1LNlFlZUlSS193NV9sXzlrOEN4Z2dXeTJGMW5qNmlZR3Ryajl4N1Z3TFY1Y0RUWFVkbE55MHY4ZS0xbUNkWVprRUZDUVJVUGM?oc=5
2025.10.30,"삼성전자 반도체 ""역대급 실적""…갤럭시 신작 판매도 '호조' [종합]",한국경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTE80VGo5MC1wNFdmNm1fQmRsLTR6RHo1bG1vZEZHOWZ5TTZiN1A3YlRNWUtfSHB6TmI4TURNS0VJME92c2plQXVUd05hek1fRF9qVEJlQ3I0SlhvUdIBVEFVX3lxTE5FNnUyMEtGOTgwbXJEYkQ4Y0d0b19Fd3NIbUxBa0FfYU5xcW9RN253dXllV1ZpYkowc2VJdmlYQmw1NzljTXlURzBmbHN6bzg3c3I5UA?oc=5
2025.10.30,3분기 삼성전자 메모리 매출 사상 최대치...예상보다 빠르게 부활,조선일보,https://news.google.com/rss/articles/CBMigwFBVV95cUxPZFB2WDdaeUZhZlBjSC1lbWxIeXBONHdwNy03UUstMzdkWDRDb3hZV2FvdEtRZDZEc2hZRC1VYkZDNjJ0OGlvTWRfdHhBN1R2MTdkV1VGSGFXMV9lWERRTGstV1lWR2w0UUlqUFhfTFJkV3JHVENNNldKUURjZjZUYWszd9IBlwFBVV95cUxNQV9VRnpMeFhobml2ckxqNFZuY0R3M2FOcGk4S2FtQk5GWXBKMW55UWNpZjBLSXFOS1dlbHpYbWJ5QWw0a0p3S1ZIclZhMlgwNEFPdy1vaUxlYzNGbnExY0U0R1dVaUUyZDZxN2pOQ0tXT29pSmpTOTFSZ3FzOV93SC1HZ21MeHI1QUVzWUZnQm1MT3dnUlNZ?oc=5
2025.10.30,"""AI가 살렸다"" 위기 탈출한 삼성전자, 반도체로 반등 성공",디지털투데이,https://news.google.com/rss/articles/CBMic0FVX3lxTE95dmJBazlBbmRxdkgtY0Q5Nmhlb0NDa2x4ejloTUF0ZUdaVWx3Z2tIemNOaUJsZk5VU2dHNGQzZl84SkU2clVrWGE2NjVTVzhGdGcxRnRiMkVvQWszekhxdTFaWDNfVDNxdWFqU25jbTVBTnM?oc=5
2025.10.30,"삼성전자, ""HBM 증설 검토...내년 물량 완판""",디일렉,https://news.google.com/rss/articles/CBMiZkFVX3lxTE52b0FHNVctYm1wUVNHak10SWVBaFFvMjlwRlludElyM05SWWdjXzkzRmZENi1RelFkeGZWMGR5V19kbnQ1Z1Z0TnJ6WTJ5U0Q4VWFKa1NLVElsVlc4MFgxdmpfWGQwZw?oc=5
2025.10.30,[실리콘 디코드] AI가 이끈 삼성전자 반도체 '왕의 귀환',글로벌이코노믹,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNcmdDV1ZpVzRKcU4zMmU1QkRMNlduNWxPYURqejRWTjlVT3lGMjFHdWJfRG9RTjdDZGZMLWFkY1ZBN1FVM2EyZ3FMQXpEZXZ0c1VLYzlwUmJTV1p5cDNOejdSMVozWGZZejVpTzRHd3ZDbTRvUjQ4X21hUHVYSExzc1BHbUpZRDNu?oc=5
2025.10.30,"삼성전자, 올해 캐펙스 47.4조 투입…반도체에만 86% '집중'",뉴스1,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1NOFVfYWFYZXlEN1JGS1U2MEVEYV8wdmd0Wk9jeEQwZWh4YTQ3VmRrbldRS204WDMySnNyM3NyMHdVZE5pRl9felk3YmkyWkhta0Y5NWtiRS00aFFHZ3c?oc=5
2025.10.30,"""AI가 살렸다"" 삼성전자, 반도체·모바일서 동반 성장 견인",지디넷코리아,https://news.google.com/rss/articles/CBMiVkFVX3lxTE82aUp0c2I0MUlCZ2dfdkozN1FFSmcxTzhHc2dYcFF2c0RlSGlUbjdJMk5nb09EbnFvbXJPMmRzVjlWSm05OWZTYzlqa3FiNXVjQVIxaC1n?oc=5
2025.10.30,삼성전자 반도체의 반격 '영업이익 7조'…내년 HBM4로 미래 연다,mt.co.kr,https://news.google.com/rss/articles/CBMibEFVX3lxTE1fWVJKa0RnWU9EdDJWMlc2Wk44Y3pmVEpSMHhkN3FtbGVSTUJoYTVOczNMVHdZVHdpU05lZGRrbUVRUGYxWEtkemtBYlZEMjBpNUZKUzVpUnAyWFJzUHJMUWtxNFl0RFN6NEcyVw?oc=5
2025.10.30,반도체 슈퍼사이클 탈 삼성전자…사업지원TF 역할은 끝났다,인베스트조선,https://news.google.com/rss/articles/CBMigwFBVV95cUxOblhMNkR0Qk5Wb1ZnbVZUeXItYjYwUWtSam9qYXFaNVoxclptNVlIbG5vN3laNy1ySkhpcG43dlRKcXo2Y3VZX2o2UHZxTmxRMmFFRUVmdWhKNTNYZjRBWjlwa2wwMUJfaGRkSHRkeTA5WlUtbS1MXzFOUTFGdVowTTFIZw?oc=5
2025.10.30,"'1등 DNA' 부활 삼성전자 반도체…HBM3E, 엔비디아 뚫고 폭풍 질주",뉴스1,https://news.google.com/rss/articles/CBMiXkFVX3lxTE14NWVQSXNCRDhJTXloS0thUVVIWnVQbVBQcXdQTWk1NUl3OHZtdGdDWVhmei03ZnRpbThHaHJ1a3RxN0hXMzdCeU94OXNfMHJwa2xpYnRZOE5KTUtBSXc?oc=5
2025.10.30,삼성전자 반도체 영업익 7조…관세는 오리무중?,v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBJdk8yUzFVOG1Ra0ppMjA1TzF5M29lLVNENU52SG1qV3I4YkFkVnNhY0xyU3BlSzVpaDZYb1IzQWFOZkNOR2RWRlNXS2FnSGs?oc=5
2025.10.30,"삼성전자, 반도체 영업익 7조원 돌파…전사 매출 역대 최대",글로벌이코노믹,https://news.google.com/rss/articles/CBMihgFBVV95cUxOV0pJY1BpMmhSeHY0U1FZZ0ljQlljb1dfZGRMczA5MGltRzhUOUpZTl9fUHdyWGhFQmZYbTNzSEZicnBNZFE3NUIybWlOTkdaU1g3SFY5SU9vbk5iLXFYZGZUbUo5MDk5d2RiXy16eFFEVzNEeXBjQkRHTDBZU1ZkMWx1SFZxdw?oc=5
2025.10.30,"삼성전자, 3분기 반도체로 7조원 벌었다… AI·가격 반등 ‘쌍끌이’ 턴어라운드 - 조선비즈",Chosunbiz,https://news.google.com/rss/articles/CBMiggFBVV95cUxOTnIwTTk1SXpMU0g1cThEV3ZhWllKcmdrak1VajRiNHRNZnZDUW5rSDRmdXp5c09fdUhyMWNhTWhsQU1BRm1zTElRMXAwVXZyNzZIWTN2LXNtNS1CMDBWUWdaalFDWlQ1UkpkNnItbFpERGhaVlBXT0psenp5N1hrUVhR0gGWAUFVX3lxTE1mYUtnY3lvZmloNzMyanpqYXhrSVVlRWlpejNSME9lVWwxUjVGWjVTYXUwdzBEeDRWVmpLQUFNWGZXNV9nQVEwclJtTmdWTWQtTVVKNkVqUDYwZmVhR196RElDZENLVk5IT3NDcEtNc05mcFM2SWtlX0U2ekdBdEtmM3piTHU1Y0YycVRUNDUzVGhyQUdKZw?oc=5
2025.10.30,"삼성전자, 2025년 3분기 실적 발표",samsung.com,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPU3I5U3NLZm1BTG1RWFplS3FWZGwzRlBhaDRXd2o2MlJXX2o1WE1qd1NncjFEaWF2MGRDbUQ1bHlrdF8wbG1uX29iSUQzMlg1UlN6YlVGaHlVb0VwUGl2dGJzdjFDV1BKMlNsQTFXbE5iT0xzUEo4REhSSGlCVmM0TjE5Mk5GbG1aWkIya0V5UTVJVnB4bDZ0VXlOOENzeVl0RHpyX1AwcGRSUDJfQzhuWHpQRHpvV09GWE1NZW1sVE5raUJIc2FEckt5SWY3bnd4bUE?oc=5
2025.10.30,"삼성전자, 반도체 부활에 깜짝실적…HBM4로 왕좌 탈환 노린다",IT조선,https://news.google.com/rss/articles/CBMicEFVX3lxTE9UQzd6Rm1zZjJfV2l6THR6LWRwRTdVbkEyak9Ba2ZtcHBuSVl0Zm5DdG9aTk5seXc4bV9CdXRmUVFjeTNVVGtZdWtMb0liWHdlak9iVGRFOTR1aWJOQ3pPaGlETUtzRzcxRGpsN0ZKRmvSAXRBVV95cUxQbW9sUm9DOXhtYjF6N3M1RHFxN01xc0o4dTNYN2FkNVh5SmdkdVVkei1qWXBFaUdBQ2tWTTBWV2RLREtSODZRWTZpcFAxdTZsZC15ejhVR3JfdGNrbzZoMWJaUUViWWZ0WXB1X3NBOE1faG1rRw?oc=5
2025.10.30,"""삼성전자·SK하이닉스 120조 번다""…어마어마한 '돈방석' 예약",한국경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5OUnplTlQ5UTVTcV93VlRRaEJ4cVZsVjhvNUt4b1FrMF93Wm5QUnIyMVhVSGNwMVRYSXYtRmFqaks5MVY1Q1lRMWVTMGdoQ2ZHR0poZ1dTWGRFd9IBVEFVX3lxTE9xZE1ObGVFQXVkSVV2T2RaWldVTDVyOW05MHJFYlFzSHpKMy1fRzc2YlZrQ2c3azR3TkROMmh1ME8yXzVTb21CbU9VYW9qb2F4MTJxTg?oc=5
2025.10.30,삼성 반도체 부활 공식화…내년 메모리 호황 '최대 수혜' 전망,연합뉴스,https://news.google.com/rss/articles/CBMiW0FVX3lxTFAtVm9mWEttcHdkOVBBc2ltaUJRb0YwVGcxZmUwYnZOSlhPUnBqSVlOalg4WGttNGtZb2duWE1RTjdEVUY3Y1lBaHJSbGZJRUFVQmZQblBDUENhR2vSAWBBVV95cUxOWm1CajJSdUE1eVEzblJFYlZwc3pSakt4QWRiRGtkOUFNZk52b01UdUFPanNvaGtOdUFEUjA3a2NubU9GTk1VY3Utc05Id3ZNREpsbmJoOUJQWlpFYnhkZkI?oc=5
2025.10.30,"호실적 거둔 삼성전자, 내년 전망도 '맑음'…""HBM4·2나노 적극 대응""",지디넷코리아,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1sUTdzQUNDN3dwd21FY1ZCTGJBbmltcTV5TnBoNzNFWGRaU0E1bVFJdkR0Wm5WUU4zTUJqSmlCZjZuMVhRaUpMVHIwTTgwNDBFM3pHbkJB?oc=5
2025.10.30,"""삼성이 돌아왔다""…엔비디아 뚫고 '반도체 왕좌' 탈환 재가동",v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTE5RS1JLLVlyQlF0cjh2ZHFhU3NwZ1Utal9ZRmRXcW9WQmRSZ0VkMEN5b2lwcXg0b2wtNm4tVHRDYmtDajA2Y3c?oc=5
2025.10.30,"삼성전자, 올해 연간 시설투자 47.4조원 집행 예정",지디넷코리아,https://news.google.com/rss/articles/CBMiVkFVX3lxTE16YnluUWZaTHdNUXhKLVh4blZpRXBpTUVxTkIyaGh1eWVaZ0dvMThwREdjM3pKV1ZJR3RlWEpqR21aZ1h1MF9BakI1YWE2Mk95UkYxTmFR?oc=5
2025.10.30,"‘10조 클럽’ 복귀한 삼성전자, ‘역대급’ 반도체 영업이익에 ‘HBM4’ 완판까지",뉴닉,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBnWHVLczJ6RXFHSXV4RVBfbE5ucTYtS092NTBGTkxLbzlQd05NUUlkdXN3clAwODFtMHBYOVI0d2w2Nm5yWmRlX0E3bXlYUEpBZVNn?oc=5
2025.10.30,"삼성전자, 마침내 날아오른 HBM…3Q 반도체 영업익 7조(종합 2보)",v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5hMmF4OFRTdVhmLTNFME9tNjlBSFZyTGRJVDRHWENwR0c3SE9sRVpBQ3RJMzlCZjZpa0F3NDhUVzBFYTFhcTJzVjVnN21DNmM?oc=5
2025.10.30,"3분기 활짝 웃은 삼성전자…영업익 12.2조, 반도체는 7조(종합)",더팩트,https://news.google.com/rss/articles/CBMiWkFVX3lxTFAtTnlkdGhEWU5QcVJtWW01QVFFNTAtRktzTGVDTmVveEVaQWtuZWpTSTZPY21melRFNjdXU0ZsMFM5a3Y2REltN1JxUWRvY1RUODNYWjRJcGpBUdIBVEFVX3lxTE12WXpneVJSa0phQlJLeFFnQmItWFd1U2kxbW41aWowLTlXaHVRMVdhV2hfdkRXRmNtUzc2NUFrN0ZIQml4bU45MHRETjFxbHFZb3oyRA?oc=5
2025.10.30,"반도체 부활·엔비디아 입성 … 삼성전자, 내년 완판 행진 예고",뉴데일리 경제,https://news.google.com/rss/articles/CBMie0FVX3lxTE1MWGlzUlNWRUg1bHgyT3ZFNWdPYUUzWUp0Um9aczF6NVQxVHJIWnZLaXpvUTRMc2ZuMDJpTkJnVDEzODQ5eUctSEZuTlV1UlgxUTAxRlAyTHhkNmVKbng3OTBRb1RKRDBUNklEWG5yWkpuVnJrLU5tbzdaOA?oc=5
2025.10.30,"삼성전자 3분기 영업이익 12.1조로 전년 대비 32% 증가, 반도체 7조",비즈니스포스트,https://news.google.com/rss/articles/CBMic0FVX3lxTE8tMU94aHNRYXpiaTBiZllYZkxFcWIzdnhqUENTR2xPMXhyV3RaRFNGdWFZWU5NemNtSV9Qa3BLd0toMVdlVk9ycm52MEloMkk4VXhiYmw4VGpJb3FhX3NIaFhmVmVwMzJaVUo0MGZDb2ZoWm8?oc=5
